INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_OT;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_IP;
;problem_100_1000_4_5_5.txt;40119;40119;0;38825;38825;11;11770;11770;11;40386;40386;0;40386;40386;0;40384;40384;0
;problem_500_50_1_1_5.txt;2127;6088;0;2138;2539;11;56;881;11;2147;6115;0;2147;6115;0;2147;6115;0
;problem_500_50_1_2_5.txt;4223;8133;0;4217;4423;11;55;819;11;4229;8138;0;4229;8138;0;4229;8138;0
;problem_500_50_1_3_5.txt;6379;10456;0;6368;6995;11;58;887;11;6398;10470;0;6398;10470;0;6398;10470;0
;problem_500_50_1_4_5.txt;8576;11785;0;8512;8688;11;59;731;11;8602;11798;0;8602;11798;0;8601;11797;0
;problem_500_50_1_5_5.txt;10727;12071;0;8887;8589;11;57;761;11;10737;12073;0;10737;12073;1;10738;12073;0
;problem_500_50_2_1_5.txt;2121;2618;0;2139;2220;11;108;213;11;2147;2647;0;2147;2647;0;2147;2647;0
;problem_500_50_2_2_5.txt;4186;4822;0;4220;4343;11;76;163;11;4229;4867;0;4229;4867;0;4229;4867;0
;problem_500_50_2_3_5.txt;6376;7048;0;6379;6408;11;108;199;11;6398;7070;0;6398;7070;0;6398;7070;0
;problem_500_50_2_4_5.txt;8596;9248;0;8579;8611;11;75;155;11;8602;9253;0;8602;9253;0;8602;9253;0
;problem_500_50_2_5_5.txt;10736;11089;0;8887;8821;11;73;169;11;10738;11090;0;10738;11090;0;10738;11090;0
;problem_500_50_3_1_5.txt;2153;4123;0;2159;3119;11;48;288;11;2159;4129;0;2159;4129;0;2159;4129;0
;problem_500_50_3_2_5.txt;3914;6874;0;3929;5689;11;32;272;11;3929;6889;0;3929;6889;0;3929;6889;0
;problem_500_50_3_3_5.txt;6490;9970;0;6512;9072;11;47;277;11;6512;9992;0;6512;9992;0;6512;9992;0
;problem_500_50_3_4_5.txt;8510;12600;0;8511;11851;11;47;277;11;8518;12608;0;8518;12608;0;8518;12608;0
;problem_500_50_3_5_5.txt;10603;15153;0;8891;12391;11;38;268;11;10615;15165;0;10615;15165;1;10615;15165;0
;problem_500_50_4_1_5.txt;2156;2156;0;2159;2159;11;636;636;11;2159;2159;0;2159;2159;0;2159;2159;0
;problem_500_50_4_2_5.txt;3911;3911;0;3929;3929;11;610;610;11;3929;3929;0;3929;3929;0;3929;3929;0
;problem_500_50_4_3_5.txt;6497;6497;0;6512;6512;11;618;618;11;6512;6512;0;6512;6512;0;6512;6512;0
;problem_500_50_4_4_5.txt;8508;8508;0;8511;8511;11;668;668;11;8518;8518;0;8518;8518;0;8518;8518;0
;problem_500_50_4_5_5.txt;10596;10596;0;8891;8891;11;563;563;11;10615;10615;0;10615;10615;0;10615;10615;0
;problem_500_100_1_1_5.txt;4255;11486;0;4262;5417;11;102;1649;11;4272;11506;0;4272;11506;0;4272;11506;0
;problem_500_100_1_2_5.txt;8358;16360;0;8403;9523;11;86;1723;11;8428;16429;0;8428;16429;0;8428;16429;0
;problem_500_100_1_3_5.txt;13020;20479;0;12792;13658;11;87;1774;11;13047;20499;0;13047;20499;0;13047;20499;0
;problem_500_100_1_4_5.txt;16769;23103;0;16680;16676;11;81;1646;11;16801;23118;0;16801;23118;0;16799;23118;0
;problem_500_100_1_5_5.txt;20578;24406;0;17037;17639;11;106;1648;11;20613;24415;0;20613;24415;0;20613;24415;0
;problem_500_100_2_1_5.txt;4267;5131;0;4267;4388;11;188;368;11;4272;5136;0;4272;5136;0;4272;5136;0
;problem_500_100_2_2_5.txt;8423;9687;0;8417;8611;11;152;321;11;8429;9693;0;8429;9693;0;8429;9693;0
;problem_500_100_2_3_5.txt;12993;14197;0;13041;13110;11;120;272;11;13048;14251;0;13048;14251;0;13048;14251;0
;problem_500_100_2_4_5.txt;16801;18026;0;16777;16886;11;211;386;11;16802;18026;0;16802;18026;0;16801;18026;0
;problem_500_100_2_5_5.txt;20586;21482;0;17037;17079;11;118;291;11;20613;21506;0;20613;21506;0;20613;21506;0
;problem_500_100_3_1_5.txt;4167;6217;0;4201;5161;11;71;311;11;4201;6251;0;4201;6251;0;4201;6251;0
;problem_500_100_3_2_5.txt;8312;11182;0;8346;10106;11;47;287;11;8346;11216;0;8346;11216;0;8346;11216;0
;problem_500_100_3_3_5.txt;12966;16456;0;13034;15594;11;79;319;11;13037;16527;0;13037;16527;0;13037;16527;0
;problem_500_100_3_4_5.txt;16729;20829;0;16751;20091;11;57;287;11;16751;20851;0;16751;20851;0;16751;20851;0
;problem_500_100_3_5_5.txt;20938;25498;0;17641;21141;11;72;302;11;20948;25508;0;20948;25508;0;20948;25508;0
;problem_500_100_4_1_5.txt;4161;4161;0;4201;4201;11;1086;1086;11;4201;4201;0;4201;4201;0;4201;4201;0
